director_id,first_name,last_name,date_of_birth,nationality
1,Tomas,Alfredson,1965-04-01,Swedish
2,Paul,Anderson,1970-06-26,American
3,Wes,Anderson,1969-05-01,American
4,Richard,Ayoade,1977-06-12,British
5,Luc,Besson,1959-03-18,French
6,James,Cameron,1954-08-16,American
7,Guillermo,del Toro,1964-10-09,Mexican
8,Victor,Fleming,1889-02-23,American
9,Francis,Ford Coppola,1939-04-07,American
10,Kinji,Fukasaku,1930-07-03,Japanese
11,Florian ,Henckel von Donnersmarck,1973-05-02,German
12,Terry,Jones,1942-02-01,British
13,Stanley,Kubrick,1928-07-26,American
14,John,Lasseter,1957-01-12,American
15,Ang,Lee,1954-10-23,Chinese
16,Bruce,Lee,1940-11-27,Chinese
17,George,Lucas,1944-05-14,American
18,Martin,McDonagh,1970-03-26,British
19,James,McTeigue,1967-12-29,Australian
20,Fernando,Meirelles,1955-11-09,Brazilian
21,Hayao ,Miyazaki,1941-01-05,Japanese
22,Paulo,Morelli,1966-03-10,Brazilian
23,Chan-wook,Park,1963-08-23,South Korean
24,Sam,Raimi,1959-10-23,American
25,Mark,Romanek,1959-09-18,American
26,Martin,Scorsese,1942-11-17,American
27,Ridley,Scott,1937-11-30,British
28,Tony,Scott,1944-06-21,British
29,Zack,Snyder,1966-03-01,American
30,Sion,Sono,1961-12-18,Japanese
31,Steven,Spielberg,1946-12-18,American
32,Robert,Stevenson,1905-03-31,British
33,Quentin,Tarantino,1963-03-27,American
34,Robert,Wise,1914-09-10,American
35,Kar Wai,Wong,1958-07-17,Chinese
36,Robert,Zemeckis,1952-05-14,American
37,Yimou,Zhang,1950-04-02,Chinese
38,Tomas,Alfredson,1965-04-01,Swedish
39,Paul,Anderson,1970-06-26,American
40,Wes,Anderson,1969-05-01,American
41,Richard,Ayoade,1977-06-12,British
42,Luc,Besson,1959-03-18,French
43,James,Cameron,1954-08-16,American
44,Guillermo,del Toro,1964-10-09,Mexican
45,Victor,Fleming,1889-02-23,American
46,Francis,Ford Coppola,1939-04-07,American
47,Kinji,Fukasaku,1930-07-03,Japanese
48,Florian ,Henckel von Donnersmarck,1973-05-02,German
49,Terry,Jones,1942-02-01,British
50,Stanley,Kubrick,1928-07-26,American
51,John,Lasseter,1957-01-12,American
52,Ang,Lee,1954-10-23,Chinese
53,Bruce,Lee,1940-11-27,Chinese
54,George,Lucas,1944-05-14,American
55,Martin,McDonagh,1970-03-26,British
56,James,McTeigue,1967-12-29,Australian
57,Fernando,Meirelles,1955-11-09,Brazilian
58,Hayao ,Miyazaki,1941-01-05,Japanese
59,Paulo,Morelli,1966-03-10,Brazilian
60,Chan-wook,Park,1963-08-23,South Korean
61,Sam,Raimi,1959-10-23,American
62,Mark,Romanek,1959-09-18,American
63,Martin,Scorsese,1942-11-17,American
64,Ridley,Scott,1937-11-30,British
65,Tony,Scott,1944-06-21,British
66,Zack,Snyder,1966-03-01,American
67,Sion,Sono,1961-12-18,Japanese
68,Steven,Spielberg,1946-12-18,American
69,Robert,Stevenson,1905-03-31,British
70,Quentin,Tarantino,1963-03-27,American
71,Robert,Wise,1914-09-10,American
72,Kar Wai,Wong,1958-07-17,Chinese
73,Robert,Zemeckis,1952-05-14,American
74,Yimou,Zhang,1950-04-02,Chinese
75,Christopher,Nolan,1970-07-30,British
