revenue_id,movie_id,domestic_takings,international_takings
1,45,22.20,1.30
2,13,199.40,201.20
3,23,102.10,
4,44,158.70,
6,1,27.10,
7,53,,
17,18,260.30,210.90
9,39,28.10,
5,35,461.20,314.20
13,2,83.40,
15,21,19.60,
8,36,290.30,247.80
11,43,44.10,
12,29,23.10,
14,4,33.30,
10,37,309.10,166.20
16,49,180.10,177.30
18,14,46.60,
21,11,330.30,348.10
20,28,107.90,106.20
19,19,,
23,50,192.10,182.40
22,5,,
27,41,64.10,200.30
24,48,659.20,1528.10
25,30,16.90,
26,10,55.70,106.30
30,12,188.20,273.40
28,9,128.10,85.10
29,3,,
32,17,2.90,10.20
31,34,11.10,265.40
33,31,404.10,418.10
37,6,8.20,23.50
35,16,11.10,82.50
36,32,374.10,410.40
34,25,1.10,13.80
38,51,71.20,62.50
40,26,37.80,46.40
48,42,11.30,66.10
39,33,337.00,554.00
51,40,11.90,23.20
41,46,39.90,35.80
42,7,0.30,2.20
49,20,2.10,9.10
45,52,107.50,77.50
44,27,15.10,186.70
47,8,,
46,24,2.40,7.10
43,38,0.50,0.40
50,22,124.90,484.10
52,15,59.30,115.50
53,47,54.50,104.70
